time	V(n004)
Step Information: Wyp=100m  (Run: 1/9)
1.924971878515189e-003	1.942363e+000
1.925309336332962e-003	1.943014e+000
1.925310215129362e-003	1.943016e+000
1.925763498274477e-003	1.943897e+000
1.948794785562788e-003	1.968797e+000
1.971831697097079e-003	1.968354e+000
1.977268317444475e-003	1.964751e+000
1.981039831842548e-003	1.960395e+000
1.982383344346065e-003	1.958618e+000
1.983427687699760e-003	1.957138e+000
1.983806897245059e-003	1.956584e+000
1.984122475925544e-003	1.956114e+000
1.984229091742249e-003	1.955955e+000
1.984320350450143e-003	1.955817e+000
1.984349763868617e-003	1.955773e+000
1.984374928850559e-003	1.955734e+000
1.984382973022049e-003	1.955722e+000
1.984389801520564e-003	1.955712e+000
1.984392008389095e-003	1.955709e+000
1.984393854151570e-003	1.955706e+000
1.984394470213095e-003	1.955705e+000
1.984394963260633e-003	1.955704e+000
1.984395144195895e-003	1.955704e+000
1.984395274096712e-003	1.955704e+000
1.984395332778231e-003	1.955703e+000
1.984395369484407e-003	1.955703e+000
1.984395390379665e-003	1.955703e+000
1.984395422452576e-003	1.955703e+000
1.984395441349548e-003	1.955703e+000
1.984395497243974e-003	1.955703e+000
2.024746906636674e-003	1.894565e+000
2.025306923055262e-003	1.893716e+000
2.025309085823122e-003	1.893713e+000
2.025309722658411e-003	1.893712e+000
2.025310249488913e-003	1.893711e+000
2.025871766029250e-003	1.892905e+000
2.025891275816916e-003	1.892879e+000
2.037120359955009e-003	1.895608e+000
2.037368399453281e-003	1.896075e+000
2.037632974918103e-003	1.896588e+000
2.037716068417940e-003	1.896752e+000
2.037716393001924e-003	1.896752e+000
2.038245219347585e-003	1.897797e+000
2.058408704258608e-003	1.922550e+000
2.078591899321059e-003	1.927117e+000
2.086976426525027e-003	1.923673e+000
2.092249302088890e-003	1.918740e+000
2.094732906715018e-003	1.915781e+000
2.096441762093932e-003	1.913496e+000
2.097198727641807e-003	1.912425e+000
2.097760644949958e-003	1.911604e+000
2.097986214511635e-003	1.911269e+000
2.098167324086129e-003	1.910998e+000
2.098232438929012e-003	1.910900e+000
2.098287623521611e-003	1.910817e+000
2.098305855605342e-003	1.910789e+000
2.098321493381709e-003	1.910765e+000
2.098326510031262e-003	1.910758e+000
2.098330765850770e-003	1.910751e+000
2.098332148147610e-003	1.910749e+000
2.098333292007569e-003	1.910747e+000
2.098333682947923e-003	1.910747e+000
2.098333985932881e-003	1.910746e+000
2.098334104606898e-003	1.910746e+000
2.098334185144973e-003	1.910746e+000
2.098334225039680e-003	1.910746e+000
2.098334249519719e-003	1.910746e+000
2.098334276091545e-003	1.910746e+000
2.098334299535845e-003	1.910746e+000
2.098334324466494e-003	1.910746e+000
2.137232845894267e-003	1.851809e+000
2.137795215679183e-003	1.850957e+000
2.137795275586138e-003	1.850957e+000
2.137795297067989e-003	1.850957e+000
2.137795318931512e-003	1.850957e+000
2.138365214766163e-003	1.850139e+000
2.149606299212602e-003	1.852917e+000
2.149716180048421e-003	1.853124e+000
2.149935941720060e-003	1.853546e+000
2.150291635261902e-003	1.854240e+000
2.150298502814141e-003	1.854254e+000
2.150736652646964e-003	1.855116e+000
2.173229259717825e-003	1.881024e+000
2.195732854872258e-003	1.883050e+000
2.202508068262697e-003	1.879298e+000
2.207148548490547e-003	1.874373e+000
2.208974050581568e-003	1.872060e+000
2.210382949188983e-003	1.870109e+000
2.210910605078052e-003	1.869348e+000
2.211347931048842e-003	1.868702e+000
2.211497362711861e-003	1.868479e+000
2.211625339974056e-003	1.868286e+000
2.211666668580410e-003	1.868224e+000
2.211702081880272e-003	1.868170e+000
2.211713386869958e-003	1.868153e+000
2.211723001350940e-003	1.868138e+000
2.211726098122214e-003	1.868134e+000
2.211728701344765e-003	1.868130e+000
2.211729561025816e-003	1.868128e+000
2.211730259656747e-003	1.868127e+000
2.211730508102137e-003	1.868127e+000
2.211730692357901e-003	1.868127e+000
2.211730770915304e-003	1.868127e+000
2.211730821397454e-003	1.868127e+000
2.211730848620524e-003	1.868127e+000
2.211730872033339e-003	1.868127e+000
2.211730898635291e-003	1.868126e+000
2.211730919539980e-003	1.868126e+000
2.249718785151860e-003	1.810569e+000
2.250278801570536e-003	1.809721e+000
2.250280964338405e-003	1.809717e+000
2.250281601173702e-003	1.809716e+000
2.250282128004215e-003	1.809716e+000
2.250843644544436e-003	1.808910e+000
2.262092238470195e-003	1.811739e+000
2.262338841466154e-003	1.812208e+000
2.262601884661843e-003	1.812724e+000
2.262691011471394e-003	1.812902e+000
2.262691359622994e-003	1.812903e+000
2.263217097862771e-003	1.813953e+000
2.280600661141256e-003	1.837798e+000
2.298001217150218e-003	1.843946e+000
2.318153172334290e-003	1.836934e+000
2.321827745184804e-003	1.833431e+000
2.323924822251114e-003	1.830655e+000
2.324649208104999e-003	1.829626e+000
2.325148279649919e-003	1.828894e+000
2.325351297587058e-003	1.828591e+000
2.325507460669164e-003	1.828357e+000
2.325566614215495e-003	1.828268e+000
2.325615538811970e-003	1.828194e+000
2.325632351967269e-003	1.828169e+000
2.325646724042898e-003	1.828147e+000
2.325651393822058e-003	1.828140e+000
2.325655364172266e-003	1.828134e+000
2.325656655840735e-003	1.828132e+000
2.325657723201059e-003	1.828130e+000
2.325658089889702e-003	1.828130e+000
2.325658371908149e-003	1.828129e+000
2.325658484105953e-003	1.828129e+000
2.325658559357798e-003	1.828129e+000
2.325658597323198e-003	1.828129e+000
2.325658620658623e-003	1.828129e+000
2.325658651619840e-003	1.828129e+000
2.325658672671977e-003	1.828129e+000
2.362204724409453e-003	1.772756e+000
2.362764740828089e-003	1.771907e+000
2.362766903595961e-003	1.771904e+000
2.362767540431262e-003	1.771903e+000
2.362768067261780e-003	1.771902e+000
2.363329583802029e-003	1.771097e+000
2.374578177727788e-003	1.773983e+000
2.374824178896575e-003	1.774454e+000
2.375086580143281e-003	1.774971e+000
2.375178234626952e-003	1.775154e+000
2.375178592652279e-003	1.775155e+000
2.375703037120364e-003	1.776208e+000
2.394455544479463e-003	1.801403e+000
2.413226382735295e-003	1.808001e+000
2.428375730851192e-003	1.803304e+000
2.432792781921069e-003	1.799389e+000
2.436204931080450e-003	1.795234e+000
2.437392560755357e-003	1.793627e+000
2.438371325394824e-003	1.792224e+000
2.438702946902764e-003	1.791737e+000
2.438985329531638e-003	1.791316e+000
2.439076981474500e-003	1.791178e+000
2.439155445833837e-003	1.791059e+000
2.439180539449709e-003	1.791021e+000
2.439201934782252e-003	1.790989e+000
2.439208797134153e-003	1.790979e+000
2.439214611447563e-003	1.790970e+000
2.439216499893667e-003	1.790967e+000
2.439218073165922e-003	1.790965e+000
2.439218603838897e-003	1.790964e+000
2.439219023193006e-003	1.790963e+000
2.439219181399466e-003	1.790963e+000
2.439219292194747e-003	1.790963e+000
2.439219344416413e-003	1.790963e+000
2.439219376652885e-003	1.790963e+000
2.439219399038413e-003	1.790963e+000
2.439219427591454e-003	1.790963e+000
2.439219444107080e-003	1.790963e+000
2.474690663667046e-003	1.737218e+000
2.475250680085727e-003	1.736370e+000
2.475252842853602e-003	1.736367e+000
2.475253479688907e-003	1.736366e+000
2.475254006519429e-003	1.736365e+000
2.475815523059622e-003	1.735559e+000
2.487064116985381e-003	1.738499e+000
2.487309515535536e-003	1.738971e+000
2.487571273989035e-003	1.739489e+000
2.487665459470960e-003	1.739679e+000
2.487665827382999e-003	1.739679e+000
2.488188976377957e-003	1.740735e+000
2.507459325979974e-003	1.766647e+000
2.526748512678375e-003	1.773240e+000
2.542118382522665e-003	1.768260e+000
2.546509561444869e-003	1.764306e+000
2.549797840649086e-003	1.760269e+000
2.550969991351080e-003	1.758676e+000
2.551922390240350e-003	1.757309e+000
2.552252036297862e-003	1.756824e+000
2.552531823333913e-003	1.756406e+000
2.552623395282443e-003	1.756269e+000
2.552701890650843e-003	1.756150e+000
2.552727007053041e-003	1.756112e+000
2.552748442205937e-003	1.756080e+000
2.552755312102185e-003	1.756069e+000
2.552761133717178e-003	1.756061e+000
2.552763024400120e-003	1.756058e+000
2.552764599158267e-003	1.756055e+000
2.552765130714965e-003	1.756055e+000
2.552765550433800e-003	1.756054e+000
2.552765709076618e-003	1.756054e+000
2.552765820009803e-003	1.756053e+000
2.552765872434506e-003	1.756053e+000
2.552765904772859e-003	1.756053e+000
2.552765927596434e-003	1.756053e+000
2.552765956342837e-003	1.756053e+000
2.552765973242642e-003	1.756053e+000
2.587176602924639e-003	1.703916e+000
